ID	X1	X2	ROW	COL
453	1	2	3	12
454	1	2	3	13
455	1	2	3	14
456	1	2	3	15
457	1	2	3	16
458	1	2	3	17
459	1	2	3	18
460	1	2	3	19
461	1	2	3	20
462	1	2	3	21
463	1	2	4	1
464	1	2	4	2
465	1	2	4	3
466	1	2	4	4
467	1	2	4	5
468	1	2	4	6
469	1	2	4	7
470	1	2	4	8
471	1	2	4	9
472	1	2	4	10
473	1	2	4	11
474	1	2	4	12
475	1	2	4	13
476	1	2	4	14
477	1	2	4	15
478	1	2	4	16
479	1	2	4	17
480	1	2	4	18
481	1	2	4	19
482	1	2	4	20
483	1	2	4	21
484	1	2	5	1
485	1	2	5	2
486	1	2	5	3
487	1	2	5	4
488	1	2	5	5
489	1	2	5	6
490	1	2	5	7
491	1	2	5	8
492	1	2	5	9
493	1	2	5	10
494	1	2	5	11
495	1	2	5	12
496	1	2	5	13
497	1	2	5	14
498	1	2	5	15
499	1	2	5	16
500	1	2	5	17
501	1	2	5	18
502	1	2	5	19
503	1	2	5	20
504	1	2	5	21
505	1	2	6	1
506	1	2	6	2
507	1	2	6	3
508	1	2	6	4
509	1	2	6	5
510	1	2	6	6
511	1	2	6	7
512	1	2	6	8
513	1	2	6	9
514	1	2	6	10
515	1	2	6	11
516	1	2	6	12
517	1	2	6	13
518	1	2	6	14
519	1	2	6	15
520	1	2	6	16
521	1	2	6	17
522	1	2	6	18
523	1	2	6	19
524	1	2	6	20
525	1	2	6	21
526	1	2	7	1
527	1	2	7	2
528	1	2	7	3
529	1	2	7	4
530	1	2	7	5
531	1	2	7	6
532	1	2	7	7
533	1	2	7	8
534	1	2	7	9
535	1	2	7	10
536	1	2	7	11
537	1	2	7	12
538	1	2	7	13
539	1	2	7	14
540	1	2	7	15
541	1	2	7	16
542	1	2	7	17
543	1	2	7	18
544	1	2	7	19
545	1	2	7	20
546	1	2	7	21
547	1	2	8	1
548	1	2	8	2
549	1	2	8	3
550	1	2	8	4
551	1	2	8	5
552	1	2	8	6
553	1	2	8	7
554	1	2	8	8
555	1	2	8	9
556	1	2	8	10
557	1	2	8	11
558	1	2	8	12
559	1	2	8	13
560	1	2	8	14
561	1	2	8	15
562	1	2	8	16
563	1	2	8	17
564	1	2	8	18
565	1	2	8	19
566	1	2	8	20
567	1	2	8	21
568	1	2	9	1
569	1	2	9	2
570	1	2	9	3
571	1	2	9	4
572	1	2	9	5
573	1	2	9	6
574	1	2	9	7
575	1	2	9	8
576	1	2	9	9
577	1	2	9	10
578	1	2	9	11
579	1	2	9	12
580	1	2	9	13
581	1	2	9	14
582	1	2	9	15
583	1	2	9	16
584	1	2	9	17
585	1	2	9	18
586	1	2	9	19
587	1	2	9	20
588	1	2	9	21
589	1	2	10	1
590	1	2	10	2
591	1	2	10	3
592	1	2	10	4
593	1	2	10	5
594	1	2	10	6
595	1	2	10	7
596	1	2	10	8
597	1	2	10	9
598	1	2	10	10
599	1	2	10	11
600	1	2	10	12
601	1	2	10	13
602	1	2	10	14
603	1	2	10	15
604	1	2	10	16
605	1	2	10	17
606	1	2	10	18
607	1	2	10	19
608	1	2	10	20
609	1	2	10	21
610	1	2	11	1
611	1	2	11	2
612	1	2	11	3
613	1	2	11	4
614	1	2	11	5
615	1	2	11	6
616	1	2	11	7
617	1	2	11	8
618	1	2	11	9
619	1	2	11	10
620	1	2	11	11
621	1	2	11	12
622	1	2	11	13
623	1	2	11	14
624	1	2	11	15
625	1	2	11	16
626	1	2	11	17
627	1	2	11	18
628	1	2	11	19
629	1	2	11	20
630	1	2	11	21
631	1	2	12	1
632	1	2	12	2
633	1	2	12	3
634	1	2	12	4
635	1	2	12	5
636	1	2	12	6
637	1	2	12	7
638	1	2	12	8
639	1	2	12	9
640	1	2	12	10
641	1	2	12	11
642	1	2	12	12
