protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot950,2.3423280562329265,0.9780126018318112,1.0011541303935056,1.3506135625415296,1.4180270877499432,0.9051699278510127
Prot1475,0.6399180309253751,4.2189871930848755,0.37385842248675993,0.313233800670325,1.3864993617918338,0.9999999999838796
Prot2300,3.923221102994707,0.34889059059300287,0.9855964602479965,0.24623643653291966,1.3759861475921564,0.9851200687005239
Prot1134,0.8110899672734587,3.537684550666877,0.5677486893291466,0.5474644508477433,1.3659969145293065,0.9999999805525095
Prot1503,2.749738404400823,1.0134460166856398,0.6774532813922429,0.9940749509296403,1.3586781633520864,0.9697249984888917
Prot115,1.3553308145709202,2.067366027764999,0.08751737135348926,1.9186438001146024,1.3572145034510028,0.9589663254326299
Prot610,3.570914175124253,0.33684570322163626,1.2556025275909848,0.23285598969758864,1.3490545989086158,0.9749833638633932
Prot1616,0.5020767466308391,4.193011050120303,0.34475649204230174,0.35213659933992436,1.347995222033342,0.999999999975838
Prot289,1.365475707244411,2.9888265061961516,0.08990702861867433,0.7385143941517751,1.295680909052753,0.9999972013454459
Prot345,1.306328096306112,1.6620098071456126,1.5081402129338983,0.680729464905424,1.2893018953227617,0.8933082201753034
Prot1366,0.5661073927419914,3.757714189494641,0.4250287944820861,0.3732037266174999,1.2805135258340543,0.999999998391127
Prot1806,2.116250637657064,1.42373146471577,0.6546974642100905,0.9119308242682713,1.276652597712799,0.9169096415778253
Prot261,2.1992885911007902,1.7209688479322445,0.17448774369435824,0.9365475655042353,1.257823187057907,0.9881589148461308
Prot2410,1.2919720165931852,2.1539117828447463,0.17175957433485953,1.4133672080625541,1.2577526454588361,0.9016734621302609
Prot1964,2.418273765349286,1.084346000415513,0.5076255830754408,0.9577867474231526,1.242008024065848,0.9615457237496111
Prot1106,1.1027141487034167,3.1181339287663867,0.008503802342971017,0.7084641087587988,1.2344539971428932,0.9999990202356214
Prot1541,2.650494904193866,0.6333821230374506,1.5160869251886664,0.128773263215295,1.2321843039088194,0.9627607787378555
Prot1324,0.9370989734802815,2.09560940372946,0.9370989734802815,0.8848305449345244,1.2136594739061368,0.8059368265504926
Prot1141,2.750654432023663,0.45443878731509685,1.0140545752505195,0.5597993029729231,1.1947367743905506,0.9246710855824309
Prot952,1.4132189622689535,1.5230668704103913,1.4572116933880737,0.3016734679239542,1.1737927484978432,0.9831933562537045
Prot370,0.18116250473560225,3.3549964769820186,0.44345195717511315,0.6663678000484755,1.1614946847353023,0.9999998511556911
Prot416,2.326428349197782,0.7796839263834728,0.48235492818808323,0.9660402190408526,1.1386268557025478,0.9130073664216076
Prot1256,0.12306867661704746,3.274209939506313,0.46985621288715146,0.5480819986950425,1.1038042069263887,0.9999997989966161
Prot97,3.085327921901531,1.059444460547798,0.013952444142988537,0.2209420971355589,1.0949167309319692,0.9937513053150632
Prot1798,0.04965538327032402,1.9403923517941977,1.5868211272900101,0.689827500522295,1.0666740907192067,0.9836389093745462
Prot11,0.9966333073463968,2.6882747765213915,0.2723063152003729,0.19318819157063497,1.037600647659699,0.9999947884630734
Prot1317,2.596907914186646,0.25774511505267195,0.814555852060486,0.4202640445504467,1.0223682314625626,0.8951596680381728
Prot143,2.771605799556479,0.2562741224036616,0.40057785934043055,0.5758938853360351,1.0010879166591515,0.9121939498142977
Prot2408,1.554429010307515,1.6904546429769534,0.08886446228180511,0.6603060372775122,0.9985135382109462,0.8163336294852152
Prot920,2.648195229900426,0.9983971023178104,0.2931324363351361,0.02863384304066896,0.9920896528985104,0.9916495831262225
Prot56,2.7974728448836,0.5870807286202085,0.2605560784719252,0.29625649851254426,0.9853415376220694,0.9665556171451277
Prot1161,1.1032019193813474,2.005139521900688,0.37759246267674074,0.4125087277829687,0.9746106579354362,0.9762753550235778
Prot175,2.4178410884264223,0.29621653733650266,0.6321252139114973,0.33022749903308773,0.9191025846768774,0.8949214894392149
Prot708,0.406255069836694,2.0977390102678406,0.20853982196936505,0.6823507080096682,0.848721152520892,0.9652933262023009
Prot2480,0.7046633757809557,1.9182449027382897,0.607723817969299,0.08266787952875054,0.8283249940043238,0.9956486379509139
Prot1211,0.39402821710508745,1.407961306018431,1.1237202615714252,0.17643118304533478,0.7755352419350697,0.852005086357588
Prot1772,2.2251703137106333,0.12344337236741632,0.05700908700575843,0.05838324283146834,0.6160015039788191,0.8544837783934477
